ticker,year,price
A,2015,38.44
A,2016,42.35
A,2017,62.81
A,2018,63.86
A,2019,81.44
A,2020,113.85
A,2021,154.28
A,2022,145.75
A,2023,136.4
A,2024,132.71
A,2025,135.26
A,2026,153.56
AAPL,2015,23.67
AAPL,2016,26.62
AAPL,2017,39.52
AAPL,2018,37.39
AAPL,2019,70.66
AAPL,2020,128.82
AAPL,2021,173.45
AAPL,2022,127.65
AAPL,2023,190.21
AAPL,2024,248.62
AAPL,2025,271.12
AAPL,2026,316.85
ABBV,2015,38.18
ABBV,2016,41.92
ABBV,2017,67.11
ABBV,2018,66.47
ABBV,2019,67.44
ABBV,2020,86.14
ABBV,2021,114.07
ABBV,2022,141.45
ABBV,2023,141.12
ABBV,2024,167.73
ABBV,2025,223.21
ABBV,2026,256.42
ABNB,2020,146.8
ABNB,2021,166.49
ABNB,2022,85.5
ABNB,2023,136.14
ABNB,2024,131.41
ABNB,2025,135.72
ABNB,2026,183.22
ABT,2015,36.52
ABT,2016,32.02
ABT,2017,48.68
ABT,2018,62.83
ABT,2019,76.7
ABT,2020,98.21
ABT,2021,128.19
ABT,2022,101.68
ABT,2023,103.98
ABT,2024,108.98
ABT,2025,123.0
ABT,2026,110.36
ACGL,2015,22.11
ACGL,2016,27.35
ACGL,2017,28.77
ACGL,2018,25.41
ACGL,2019,40.78
ACGL,2020,34.3
ACGL,2021,42.27
ACGL,2022,59.7
ACGL,2023,70.62
ACGL,2024,92.35
ACGL,2025,95.92
ACGL,2026,98.07
ACN,2015,87.42
ACN,2016,99.97
ACN,2017,133.29
ACN,2018,124.99
ACN,2019,189.01
ACN,2020,238.22
ACN,2021,382.74
ACN,2022,249.73
ACN,2023,333.62
ACN,2024,339.84
ACN,2025,262.88
ACN,2026,189.76
ADBE,2015,93.94
ADBE,2016,102.95
ADBE,2017,175.24
ADBE,2018,226.24
ADBE,2019,329.81
ADBE,2020,500.12
ADBE,2021,567.06
ADBE,2022,336.53
ADBE,2023,596.6
ADBE,2024,444.68
